finding_id,run_id,pr_number,task_id,condition,version,include_in_analysis,pipeline,tool,rule_id,cwe_id,severity,file_path,start_line,end_line,message,fingerprint,candidate_key,artifact_source
F-0001,task-1-human-only-v2,,T1,human-only,2,true,security-gated,spotbugs,DM_CONVERT_CASE,,low,com/thesis/securitystudy/service/UserService.java,33,33,"Use of non-localized String.toUpperCase() or String.toLowerCase() in com.thesis.securitystudy.service.UserService.updateProfile(String, UpdateProfileRequest)",0df135c7c57a9c28,d26d68013d91e10a,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-1-human-only-v2\artifacts\spotbugs.xml
F-0002,task-1-human-only-v2,,T1,human-only,2,true,security-gated,spotbugs,IMPROPER_UNICODE,CWE-176,low,com/thesis/securitystudy/service/UserService.java,33,33,Improper handling of Unicode transformations such as case mapping and normalization.,2ff90efa43834a8f,d86cde349ed77663,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-1-human-only-v2\artifacts\spotbugs.xml
F-0003,task-1-human-only-v2,,T1,human-only,2,true,security-gated,spotbugs,IMPROPER_UNICODE,CWE-176,low,com/thesis/securitystudy/service/UserService.java,39,39,Improper handling of Unicode transformations such as case mapping and normalization.,603c62bfbefd739d,8d57b61eb4975419,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-1-human-only-v2\artifacts\spotbugs.xml
F-0004,task-1-low-ai,,T1,low-ai,1,true,security-gated,spotbugs,DM_CONVERT_CASE,,low,com/thesis/securitystudy/service/UserService.java,25,25,"Use of non-localized String.toUpperCase() or String.toLowerCase() in com.thesis.securitystudy.service.UserService.updateProfile(User, UpdateProfileRequest)",9ed8f9df194072a3,44cb96bb62a2ea97,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-1-low-ai\artifacts\spotbugs.xml
F-0005,task-1-low-ai,,T1,low-ai,1,true,security-gated,spotbugs,IMPROPER_UNICODE,CWE-176,low,com/thesis/securitystudy/service/UserService.java,25,25,Improper handling of Unicode transformations such as case mapping and normalization.,afe78ebc01becb23,aecf90d57f506a24,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-1-low-ai\artifacts\spotbugs.xml
F-0006,task-1-low-ai,,T1,low-ai,1,true,security-gated,spotbugs,IMPROPER_UNICODE,CWE-176,low,com/thesis/securitystudy/service/UserService.java,33,33,Improper handling of Unicode transformations such as case mapping and normalization.,55806db8535e6cd9,95524af7d120f81b,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-1-low-ai\artifacts\spotbugs.xml
F-0007,task-2-low-ai,,T2,low-ai,1,true,security-gated,spotbugs,DM_CONVERT_CASE,,low,com/thesis/securitystudy/controller/AdminController.java,70,70,"Use of non-localized String.toUpperCase() or String.toLowerCase() in com.thesis.securitystudy.controller.AdminController.updateRoles(Long, RoleUpdateRequest)",039d50699b5df677,d46890d7ade14675,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-2-low-ai\artifacts\spotbugs.xml
F-0008,task-3-high-ai,,T3,high-ai,1,true,security-gated,semgrep,gitlab.find_sec_bugs.HARD_CODE_KEY-1,CWE-321,high,src/main/java/com/thesis/securitystudy/util/EncryptionUtil.java,34,34,"Cryptographic keys should not be kept in the source code. The source code can be widely shared in an enterprise environment, and is certainly shared in open source. To be managed safely, passwords and secret keys should be stored in separate configuration files or keystores.",925c99212b74b43c,e170128439086fa5,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-3-high-ai\artifacts\semgrep-results.json
F-0009,task-3-high-ai,,T3,high-ai,1,true,security-gated,semgrep,gitlab.find_sec_bugs.HARD_CODE_KEY-2,CWE-321,medium,src/main/java/com/thesis/securitystudy/util/EncryptionUtil.java,24,24,"Cryptographic keys should not be kept in the source code. The source code can be widely shared in an enterprise environment, and is certainly shared in open source. To be managed safely, passwords and secret keys should be stored in separate configuration files or keystores.",065a85aafe0e254b,3ffc2b8f0eb2b693,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-3-high-ai\artifacts\semgrep-results.sarif
F-0010,task-3-high-ai,,T3,high-ai,1,true,security-gated,semgrep,gitlab.find_sec_bugs.HARD_CODE_KEY-2,CWE-321,medium,src/main/java/com/thesis/securitystudy/util/EncryptionUtil.java,25,25,"Cryptographic keys should not be kept in the source code. The source code can be widely shared in an enterprise environment, and is certainly shared in open source. To be managed safely, passwords and secret keys should be stored in separate configuration files or keystores.",b7b4f971f21a9e48,14214b0a8f8fc3e8,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-3-high-ai\artifacts\semgrep-results.sarif
F-0011,task-3-high-ai,,T3,high-ai,1,true,security-gated,spotbugs,THROWS_METHOD_THROWS_RUNTIMEEXCEPTION,,low,com/thesis/securitystudy/service/NoteService.java,93,93,Method intentionally throws RuntimeException.,2ec84283eca13b7c,24b60ef9672259ae,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-3-high-ai\artifacts\spotbugs.xml
F-0012,task-3-high-ai,,T3,high-ai,1,true,security-gated,spotbugs,DMI_RANDOM_USED_ONLY_ONCE,CWE-440,low,com/thesis/securitystudy/util/EncryptionUtil.java,41,41,Random object created and used only once in com.thesis.securitystudy.util.EncryptionUtil.encrypt(String),411c9ea311b61e8d,86cb558fd936a6e8,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-3-high-ai\artifacts\spotbugs.xml
F-0013,task-3-high-ai,,T3,high-ai,1,true,security-gated,spotbugs,REC_CATCH_EXCEPTION,CWE-396,low,com/thesis/securitystudy/util/EncryptionUtil.java,75,75,Exception is caught when Exception is not thrown in com.thesis.securitystudy.util.EncryptionUtil.decrypt(String),89f36885d1eaa7c6,6d2dd0c5dbc1d3da,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-3-high-ai\artifacts\spotbugs.xml
F-0014,task-3-high-ai,,T3,high-ai,1,true,security-gated,spotbugs,REC_CATCH_EXCEPTION,CWE-396,low,com/thesis/securitystudy/util/EncryptionUtil.java,55,55,Exception is caught when Exception is not thrown in com.thesis.securitystudy.util.EncryptionUtil.encrypt(String),8dc453c846c33116,c40c29fcd8137d64,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-3-high-ai\artifacts\spotbugs.xml
F-0015,task-3-high-ai,,T3,high-ai,1,true,security-gated,spotbugs,THROWS_METHOD_THROWS_RUNTIMEEXCEPTION,,low,com/thesis/securitystudy/util/EncryptionUtil.java,64,64,Method intentionally throws RuntimeException.,8d4de00a2e50161c,9a5c5b71e6d58e24,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-3-high-ai\artifacts\spotbugs.xml
F-0016,task-3-high-ai,,T3,high-ai,1,true,security-gated,spotbugs,THROWS_METHOD_THROWS_RUNTIMEEXCEPTION,,low,com/thesis/securitystudy/util/EncryptionUtil.java,76,76,Method intentionally throws RuntimeException.,d84a0fd247e71f6c,359aeb1ce2a91b63,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-3-high-ai\artifacts\spotbugs.xml
F-0017,task-3-high-ai,,T3,high-ai,1,true,security-gated,spotbugs,THROWS_METHOD_THROWS_RUNTIMEEXCEPTION,,low,com/thesis/securitystudy/util/EncryptionUtil.java,56,56,Method intentionally throws RuntimeException.,94c4e4c5648124d8,3742e62f45d26beb,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-3-high-ai\artifacts\spotbugs.xml
F-0018,task-3-human-only,,T3,human-only,1,true,security-gated,spotbugs,THROWS_METHOD_THROWS_CLAUSE_BASIC_EXCEPTION,,low,com/thesis/securitystudy/service/NoteService.java,27,34,"Method lists Exception in its throws clause, but it could be more specific.",ec3f30500e3ef69c,24183a89d7a6e3ce,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-3-human-only\artifacts\spotbugs.xml
F-0019,task-3-human-only,,T3,human-only,1,true,security-gated,spotbugs,THROWS_METHOD_THROWS_CLAUSE_BASIC_EXCEPTION,,low,com/thesis/securitystudy/service/NoteService.java,56,66,"Method lists Exception in its throws clause, but it could be more specific.",5ab790ebd87d2301,5c06a1e6259c53c0,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-3-human-only\artifacts\spotbugs.xml
F-0020,task-3-human-only,,T3,human-only,1,true,security-gated,spotbugs,THROWS_METHOD_THROWS_CLAUSE_BASIC_EXCEPTION,,low,com/thesis/securitystudy/util/EncryptionUtil.java,38,46,"Method lists Exception in its throws clause, but it could be more specific.",e38b4cc1a6c994f4,9948ba5a93ed88d9,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-3-human-only\artifacts\spotbugs.xml
F-0021,task-3-human-only,,T3,human-only,1,true,security-gated,spotbugs,THROWS_METHOD_THROWS_CLAUSE_BASIC_EXCEPTION,,low,com/thesis/securitystudy/util/EncryptionUtil.java,21,34,"Method lists Exception in its throws clause, but it could be more specific.",037e4ffd7e06f903,7934d15dc9348aae,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-3-human-only\artifacts\spotbugs.xml
F-0022,task-3-low-ai,,T3,low-ai,1,true,security-gated,spotbugs,THROWS_METHOD_THROWS_CLAUSE_BASIC_EXCEPTION,,low,com/thesis/securitystudy/util/EncryptionUtil.java,39,47,"Method lists Exception in its throws clause, but it could be more specific.",f41d0a65761fd6d8,4797345e65acb190,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-3-low-ai\artifacts\spotbugs.xml
F-0023,task-3-low-ai,,T3,low-ai,1,true,security-gated,spotbugs,THROWS_METHOD_THROWS_CLAUSE_BASIC_EXCEPTION,,low,com/thesis/securitystudy/util/EncryptionUtil.java,22,35,"Method lists Exception in its throws clause, but it could be more specific.",fdac1674ce7471d1,05601e9d0a85cc7a,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-3-low-ai\artifacts\spotbugs.xml
F-0024,task-4-high-ai,,T4,high-ai,1,true,security-gated,semgrep,gitlab.find_sec_bugs.CUSTOM_INJECTION-2,CWE-89,medium,src/main/java/com/thesis/securitystudy/repository/NoteRepository.java,20,21,The method identified is susceptible to injection. The input should be validated and properly escaped.,acf9b293dc788534,3b6391d051c3ae57,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-4-high-ai\artifacts\semgrep-results.sarif
F-0025,task-4-high-ai,,T4,high-ai,1,true,security-gated,semgrep,gitlab.find_sec_bugs.CUSTOM_INJECTION-2,CWE-89,medium,src/main/java/com/thesis/securitystudy/repository/NoteRepository.java,27,28,The method identified is susceptible to injection. The input should be validated and properly escaped.,4af7b22467ee27b0,c61090820e7c68c6,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-4-high-ai\artifacts\semgrep-results.sarif
F-0026,task-4-human-only,,T4,human-only,1,true,security-gated,spotbugs,DM_CONVERT_CASE,,low,com/thesis/securitystudy/service/SearchService.java,47,47,Use of non-localized String.toUpperCase() or String.toLowerCase() in com.thesis.securitystudy.service.SearchService.lambda$sortResults$0(Note),8c6e53c879da3f6e,6e5dcd3b7a339240,D:\FHTW\MSC\Masterarbeit\POC\thesis-project\results\task-4-human-only\artifacts\spotbugs.xml
